cat_id;name
1815;U18 Jiu-Jitsu Women +70 kg
1816;U18 Jiu-Jitsu Women -40 kg
1817;U18 Jiu-Jitsu Women -44 kg
1818;U18 Jiu-Jitsu Women -48 kg
1819;U18 Jiu-Jitsu Women -52 kg
1820;U18 Jiu-Jitsu Women -57 kg
1821;U18 Jiu-Jitsu Women -63 kg
1822;U18 Jiu-Jitsu Women -70 kg
1823;U18 Jiu-Jitsu Men -46 kg
1824;U18 Jiu-Jitsu Men -50 kg
1825;U18 Jiu-Jitsu Men -55 kg
1826;U18 Jiu-Jitsu Men -60 kg
1827;U18 Jiu-Jitsu Men -66 kg
1828;U18 Jiu-Jitsu Men -73 kg
1829;U18 Jiu-Jitsu Men -81 kg
1830;U18 Jiu-Jitsu Men +81 kg
1889;U18 Duo Men
1890;U18 Duo Mixed
1891;U18 Duo Women
1892;U18 Show Men
1893;U18 Show Mixed
1894;U18 Show Women
4102;Adults Contact Ju-Jitsu Men -69 Kg
4103;Adults Contact Ju-Jitsu Men -94 Kg
4104;Adults Contact Ju-Jitsu Women -63 Kg
4150;Adults Jiu-Jitsu Women -45kg
4175;U10 Fighting Men -27kg
4189;U10 Jiu-Jitsu Men -21 kg
4190;U10 Jiu-Jitsu Men -24 kg
4191;U10 Jiu-Jitsu Men -27kg
4192;U10 Jiu-Jitsu Men -30 kg
4193;U10 Jiu-Jitsu Men -34kg
4194;U10 Jiu-Jitsu Men -38 kg
4196;U10 Jiu-Jitsu Men +42 kg
4207;U10 Duo Mixed
4208;U12 Fighting Men -24 kg
4209;U12 Fighting Men -27 kg
4210;U12 Fighting Men -30 kg
4211;U12 Fighting Men -34 kg
4212;U12 Fighting Men -38 kg
4213;U12 Fighting Men -42 kg
4214;U12 Fighting Men -46 kg
4215;U12 Fighting Men -50 kg
4216;U12 Fighting Men +50 kg
4218;U12 Fighting Women -25 kg
4219;U12 Fighting Women -28 kg
4220;U12 Fighting Women -32 kg
4221;U12 Fighting Women -36 kg
4222;U12 Fighting Women -40 kg
4223;U12 Fighting Women -44 kg
4224;U12 Fighting Women -48 kg
4225;U12 Fighting Women +48 kg
4226;U12 Jiu-Jitsu Men -24 kg
4227;U12 Jiu-Jitsu Men -27 kg
4228;U12 Jiu-Jitsu Men -30 kg
4229;U12 Jiu-Jitsu Men -34 kg
4230;U12 Jiu-Jitsu Men -38 kg
4231;U12 Jiu-Jitsu Men -42 kg
4232;U12 Jiu-Jitsu Men -46 kg
4233;U12 Jiu-Jitsu Men -50 kg
4234;U12 Jiu-Jitsu Men +50 kg
4236;U12 Jiu-Jitsu Women -25 kg
4237;U12 Jiu-Jitsu Women -28 kg
4238;U12 Jiu-Jitsu Women -32 kg
4239;U12 Jiu-Jitsu Women -36 kg
4240;U12 Jiu-Jitsu Women -40 kg
4241;U12 Jiu-Jitsu Women -44 kg
4242;U12 Jiu-Jitsu Women -48 kg
4243;U12 Jiu-Jitsu Women +48 kg
4244;U12 Duo Men
4245;U12 Duo Women
4246;U12 Duo Mixed
4247;U12 Show Men
4248;U12 Show Women
